2025-09-19 19:01:29,990 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:01:29,993 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:01:29,995 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:01:38,966 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:01:38,969 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:02:22,983 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:02:22,992 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:02:30,001 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:02:30,025 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:02:30,025 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:02:30,033 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:02:39,011 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:02:39,026 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:03:22,993 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:03:22,994 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:03:30,011 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:03:30,013 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:03:30,037 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/spring-collection.jpg
2025-09-19 19:03:30,054 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
2025-09-19 19:03:38,974 | WARNING | restaurant_app | not_found_error:941 | 404 Error: http://127.0.0.1:5000/static/images/payment-methods.jpg
